track_id;class_name;direction;speed_kmh
35;bus;outbound;36.0
40;car;inbound;70.0
44;car;outbound;22.0
47;car;inbound;70.0
49;car;inbound;73.0
54;car;inbound;70.0
55;car;inbound;73.0
56;bus;outbound;35.0
58;car;outbound;28.0
63;car;inbound;67.0
64;car;outbound;31.0
66;car;inbound;70.0
69;car;outbound;32.0
70;car;outbound;31.0
72;truck;inbound;57.0
73;car;inbound;81.0
75;car;inbound;73.0
76;car;inbound;70.0
77;car;outbound;33.0
81;car;inbound;73.0
83;car;inbound;76.0
85;car;inbound;49.0
88;car;inbound;70.0
89;car;outbound;41.0
90;car;outbound;38.0
91;car;inbound;70.0
95;car;inbound;57.0
97;car;inbound;70.0
98;car;inbound;64.0
99;car;outbound;36.0
